@RELATION test
@ATTRIBUTE rowc NUMERIC 
@ATTRIBUTE colc NUMERIC 
@ATTRIBUTE class {-1,1}

@DATA 
1324.97705 , 1835.66003 ,  -1 
1325.30005 , 1947.78894 ,  -1 
1385.84705 , 123.843201 ,  -1 
1390.93103 , 202.1035 ,  -1 
1387.18604 , 306.961212 ,  -1 
1390.84998 , 394.7453 ,  -1 
1397.12598 , 485.994995 ,  -1 
1388.38403 , 586.439514 ,  -1 
1398.56604 , 689.079285 ,  -1 
1393.03101 , 780.116882 ,  -1 
1391.58496 , 865.762817 ,  -1 
1388.52002 , 968.17627 ,  -1 
1395.276 , 1054.76294 ,  -1 
1385.83301 , 1152.96106 ,  -1 
1386.28894 , 1253.28601 ,  -1 
1387.24805 , 1361.04297 ,  -1 
1397.86597 , 1462.33105 ,  -1 
1385.271 , 1545.62695 ,  -1 
1399.03796 , 1655.65906 ,  -1 
1388.44495 , 1752.38098 ,  -1 
1393.854 , 1836.86206 ,  -1 
1393.06104 , 1935.74194 ,  -1 
83.3809128 , 84.1400375 ,  -1 
74.1430817 , 138.202499 ,  -1 
77.826889 , 193.2061 ,  -1 
79.4151535 , 232.382401 ,  -1 
74.5575104 , 284.250885 ,  -1 
84.0852966 , 338.783203 ,  -1 
78.3665466 , 381.462585 ,  -1 
79.4129028 , 419.888885 ,  -1 
79.6452026 , 467.884796 ,  -1 
77.7013626 , 518.869385 ,  -1 
78.8669662 , 554.744019 ,  -1 
82.2125931 , 616.348083 ,  -1 
77.8521881 , 652.516724 ,  -1 
86.3425598 , 712.05127 ,  -1 
87.8376312 , 763.66687 ,  -1 
79.9770966 , 798.733398 ,  -1 
73.9235764 , 846.449219 ,  -1 
78.5083237 , 893.36261 ,  -1 
81.7984619 , 955.378784 ,  -1 
78.7036972 , 998.69873 ,  -1 
80.6652527 , 1042.54602 ,  -1 
76.9747314 , 1081.85596 ,  -1 
75.5461426 , 1131.078 ,  -1 
82.3187637 , 1183.74695 ,  -1 
78.935173 , 1237.953 ,  -1 
84.0311737 , 1281.73596 ,  -1 
80.8279419 , 1332.96204 ,  -1 
82.0902863 , 1387.50403 ,  -1 
80.4674225 , 1426.28699 ,  -1 
75.4070129 , 1472.02295 ,  -1 
85.656517 , 1527.47205 ,  -1 
85.8694916 , 1569.67297 ,  -1 
80.6920471 , 1623.32703 ,  -1 
74.6025391 , 1680.01404 ,  -1 
82.6519623 , 1712.81104 ,  -1 
86.8712463 , 1777.18896 ,  -1 
79.4253769 , 1814.19202 ,  -1 
85.9620438 , 1864.70898 ,  -1 
80.5717392 , 1911.20398 ,  -1 
79.5174332 , 1957.297 ,  -1 
115.966797 , 88.3576813 ,  -1 
119.389297 , 130.393005 ,  -1 
110.806702 , 191.033203 ,  -1 
113.173798 , 239.122101 ,  -1 
116.950897 , 284.157593 ,  -1 
120.047302 , 338.637604 ,  -1 
118.458099 , 374.448212 ,  -1 
118.286797 , 421.253998 ,  -1 
114.548698 , 465.157593 ,  -1 
116.463402 , 523.782104 ,  -1 
116.697899 , 559.684509 ,  -1 
119.073097 , 610.578125 ,  -1 
113.425697 , 661.257874 ,  -1 
118.545502 , 712.610779 ,  -1 
110.5569 , 757.539429 ,  -1 
112.019798 , 803.901978 ,  -1 
114.991699 , 847.457703 ,  -1 
